serial_number,age_in_years,job_description,marital_status,education_details,has_default,balance_in_account,housing_status,previous_loan,phone_type,date,month_of_year,call_duration,campaign_contacts,days_passed,previous_contact,poutcome_of_campaign
1,33,admin.,married,secondary,no,796,yes,no,telephone,6,apr,216,1,-1,0,unknown
2,40,management,married,secondary,no,754,no,yes,cellular,6,apr,635,1,-1,0,unknown
3,30,technician,single,secondary,no,10152,yes,no,cellular,6,apr,1108,2,270,1,failure
4,44,blue-collar,married,secondary,no,545,yes,no,cellular,6,apr,122,3,136,1,failure
5,35,technician,married,secondary,no,5553,yes,no,cellular,6,apr,371,3,136,7,failure
6,31,services,married,secondary,no,1062,yes,yes,cellular,6,apr,230,1,-1,0,unknown
7,57,technician,married,secondary,no,1144,yes,no,cellular,6,apr,41,2,-1,0,unknown
8,36,self-employed,married,secondary,no,1184,yes,no,cellular,6,apr,1063,1,-1,0,unknown
9,40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other
10,32,technician,single,tertiary,no,948,yes,no,cellular,6,apr,223,2,-1,0,unknown
11,40,blue-collar,married,primary,no,2133,yes,yes,cellular,6,apr,377,3,325,1,failure
12,37,admin.,married,secondary,no,1207,yes,no,telephone,6,apr,1353,2,138,2,success
13,44,blue-collar,single,secondary,no,712,yes,yes,cellular,6,apr,740,3,-1,0,unknown
14,37,technician,single,tertiary,no,3943,no,no,cellular,6,apr,1138,2,138,1,failure
15,59,services,married,primary,no,1562,yes,no,telephone,6,apr,471,2,270,1,other
16,42,blue-collar,married,primary,no,574,yes,no,cellular,6,apr,357,2,327,2,failure
17,41,blue-collar,married,secondary,no,0,yes,no,cellular,6,apr,165,4,-1,0,unknown
18,44,blue-collar,married,secondary,no,647,yes,no,cellular,6,apr,276,2,-1,0,unknown
19,46,admin.,single,secondary,no,757,yes,yes,cellular,6,apr,342,3,256,3,failure
20,33,admin.,single,secondary,no,2554,yes,no,telephone,6,apr,125,3,249,15,failure
21,41,admin.,divorced,secondary,no,270,yes,no,cellular,6,apr,143,1,336,1,failure
22,36,technician,married,secondary,no,0,yes,no,cellular,6,apr,583,3,335,2,other
23,63,retired,married,secondary,no,2734,no,no,cellular,7,apr,72,5,-1,0,unknown
24,30,blue-collar,single,tertiary,no,297,no,no,cellular,7,apr,465,4,-1,0,unknown
25,38,management,divorced,tertiary,no,714,yes,no,cellular,7,apr,163,2,-1,0,unknown
26,65,retired,married,primary,no,3713,no,no,cellular,7,apr,43,3,-1,0,unknown
27,38,admin.,married,secondary,no,271,no,no,cellular,7,apr,60,3,-1,0,unknown
28,38,unemployed,married,tertiary,no,2012,no,no,cellular,7,apr,355,3,-1,0,unknown
29,26,self-employed,single,secondary,no,3676,no,no,cellular,7,apr,148,1,-1,0,unknown
30,42,blue-collar,married,secondary,no,349,yes,no,cellular,7,apr,226,2,-1,0,unknown
31,33,management,single,tertiary,no,561,no,no,cellular,7,apr,104,1,-1,0,unknown
32,35,technician,single,primary,no,744,yes,no,cellular,7,apr,1096,1,-1,0,unknown
33,46,admin.,divorced,secondary,no,1198,yes,yes,cellular,7,apr,837,1,307,1,other
34,41,technician,married,secondary,no,2185,yes,no,cellular,7,apr,157,4,309,4,other
35,33,services,married,secondary,no,387,yes,no,cellular,7,apr,327,2,138,2,failure
36,31,blue-collar,single,secondary,no,823,yes,yes,cellular,7,apr,208,1,-1,0,unknown
37,43,blue-collar,married,secondary,no,902,yes,no,cellular,7,apr,91,1,328,1,failure
38,33,management,married,tertiary,no,663,yes,no,cellular,7,apr,381,1,243,4,failure
39,36,blue-collar,single,secondary,no,3508,yes,no,cellular,7,apr,183,1,266,3,failure
40,36,admin.,married,secondary,no,39,yes,no,cellular,7,apr,194,2,-1,0,unknown
41,36,admin.,married,secondary,no,1588,yes,no,cellular,7,apr,103,1,-1,0,unknown
42,31,management,married,secondary,no,625,yes,no,cellular,7,apr,424,1,138,1,failure
43,40,admin.,single,secondary,no,963,yes,no,cellular,7,apr,479,1,-1,0,unknown
44,45,entrepreneur,single,primary,no,0,no,no,cellular,7,apr,354,1,-1,0,unknown
45,40,admin.,single,unknown,no,355,yes,no,cellular,7,apr,345,2,138,6,other
46,33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure
47,53,blue-collar,divorced,secondary,no,1912,yes,yes,cellular,7,apr,210,1,253,2,failure
48,36,management,single,tertiary,no,11767,yes,no,cellular,7,apr,226,1,-1,0,unknown
49,40,admin.,married,secondary,no,2591,yes,yes,cellular,7,apr,389,1,266,2,other
50,43,entrepreneur,married,tertiary,no,903,yes,no,cellular,7,apr,197,1,-1,0,unknown
51,38,technician,single,secondary,no,0,yes,no,cellular,7,apr,196,2,-1,0,unknown
52,46,technician,married,secondary,no,138,yes,no,cellular,7,apr,226,2,-1,0,unknown
53,36,services,married,secondary,no,3740,yes,no,cellular,7,apr,254,1,-1,0,unknown
54,47,unemployed,married,secondary,no,817,no,no,cellular,7,apr,721,4,-1,0,unknown
55,32,blue-collar,married,secondary,no,897,yes,no,cellular,7,apr,293,3,322,2,failure
56,33,management,married,tertiary,no,0,yes,no,cellular,7,apr,366,1,-1,0,unknown
57,53,blue-collar,married,primary,no,53,yes,no,cellular,7,apr,208,1,140,1,failure
58,47,unemployed,married,primary,no,2290,yes,no,cellular,7,apr,274,1,-1,0,unknown
59,56,management,married,tertiary,no,167,yes,no,telephone,7,apr,189,1,-1,0,unknown
60,44,unemployed,divorced,secondary,no,522,no,no,cellular,7,apr,411,1,-1,0,unknown
61,29,self-employed,single,tertiary,no,1457,yes,no,cellular,7,apr,89,1,314,1,other
62,35,entrepreneur,married,tertiary,no,1859,yes,no,cellular,7,apr,157,1,267,2,failure
63,53,blue-collar,married,secondary,no,2531,yes,no,cellular,7,apr,413,1,-1,0,unknown
64,46,blue-collar,single,tertiary,no,283,no,no,cellular,7,apr,299,1,-1,0,unknown
65,50,services,single,secondary,no,1716,yes,no,cellular,7,apr,272,1,-1,0,unknown
66,31,blue-collar,married,primary,no,1601,no,no,cellular,7,apr,615,1,137,3,failure
67,37,technician,divorced,tertiary,no,1174,yes,no,cellular,7,apr,436,1,140,2,failure
68,38,services,single,secondary,no,167,yes,no,cellular,7,apr,255,2,-1,0,unknown
69,41,services,married,secondary,no,446,yes,no,cellular,7,apr,93,3,140,2,failure
70,27,admin.,single,tertiary,no,2068,no,no,cellular,7,apr,49,2,-1,0,unknown
71,56,technician,married,primary,no,1232,no,no,cellular,7,apr,44,1,-1,0,unknown
72,39,blue-collar,single,primary,no,581,yes,no,cellular,7,apr,620,1,39,2,success
73,48,services,married,secondary,no,665,yes,no,cellular,7,apr,271,2,230,3,failure
74,42,technician,divorced,primary,no,5076,yes,no,cellular,7,apr,99,1,251,2,other
75,71,retired,married,secondary,no,951,no,yes,cellular,7,apr,83,1,-1,0,unknown
76,35,management,married,tertiary,no,0,yes,no,cellular,7,apr,139,1,243,2,other
77,33,blue-collar,married,primary,no,1064,yes,no,cellular,7,apr,311,1,330,1,failure
78,33,blue-collar,married,secondary,no,1130,yes,no,cellular,7,apr,1063,1,-1,0,unknown
79,35,management,single,tertiary,no,714,yes,no,cellular,7,apr,263,2,224,22,failure
80,43,technician,single,secondary,no,4990,yes,no,cellular,7,apr,58,1,228,10,failure
81,33,services,married,secondary,no,0,yes,yes,cellular,7,apr,487,1,-1,0,unknown
82,28,technician,single,secondary,no,922,yes,no,cellular,7,apr,304,1,-1,0,unknown
83,24,admin.,single,secondary,no,5,no,no,cellular,7,apr,66,1,330,1,failure
84,49,entrepreneur,divorced,tertiary,no,1342,yes,yes,cellular,7,apr,253,1,140,1,failure
85,36,services,married,secondary,no,1746,yes,no,cellular,7,apr,15,1,316,1,failure
86,39,management,married,tertiary,no,416,yes,no,cellular,7,apr,145,1,-1,0,unknown
87,36,admin.,divorced,secondary,no,356,yes,no,cellular,7,apr,244,3,313,1,failure
